Example ID,Suffix Guess
10487,"[284,5963,257,1365,4547,286,1964,11,3034,290,1919,2428,13,383,2587,319,428,2524,318,9387,1231,7630,284,883,508,423,6241,257,3161,1393,287,6464,340,329,2267,290,9856,4959,13,1002,345,4601,284,779,33696,2587,329,4959,584,621]"
9648,"[25382,393,376,46144,7473,317,16652,2149,37232,33079,48933,13,198,1635,198,1635,4091,262,22961,3611,5094,13789,329,517,3307,13,198,1635,921,815,423,2722,257,4866,286,262,22961,3611,5094,13789,198,1635,1863,351,428,1430,26,611,407,11]"
4492,"[42881,34764,56,3963,15529,509,12115,11,7788,32761,6375,198,1635,8959,49094,11,47783,2751,21728,5626,40880,5390,3336,34764,11015,3963,34482,3398,1565,5603,25382,11,198,1635,376,46144,7473,317,16652,2149,37232,33079,48933,5357,44521,1268,10913,2751,12529,13]"
4491,"[1989,706,3685,5091,379,262,705,3118,578,262,6498,6,7903,3502,11,2447,13,1367,11,2177,287,24756,11,6025,13,3486,5555,20908,319,262,6483,286,24756,1052,6686,2415,318,4193,284,257,4436,706,257,6590,2330,19848,7903,6265,503,287]"
4490,"[6375,8959,49094,198,16279,32506,11015,11,47783,2751,11,21728,5626,40880,5390,11,3336,8959,49094,34764,11015,3963,34482,3398,1565,5603,25382,198,6981,376,46144,7473,317,16652,2149,37232,33079,48933,15986,13954,48778,1961,13,3268,8005,49261,50163,3977,11345,6375]"
9649,"[1550,11463,8126,11,262,749,13105,290,6942,14033,3859,329,477,661,287,968,1971,13,843,423,1716,530,286,262,749,29382,2056,5745,287,262,3277,13,887,356,1276,1560,674,3923,351,9922,11,6650,290,3148,5197,13,843,356,2314,466]"
4487,"[13,4222,3904,319,262,2792,287,262,3053,284,11767,534,3053,13,921,761,284,11767,534,3053,878,345,460,2604,319,284,262,2524,13,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256]"
9652,"[31,197,3,7,2390,62,53,62,265,8,321,834,321,62,10378,16624,28,10378,7753,26,3467,198,31,197,90,9809,705,321,834,10378,16624,3256,46,46956,1875,720,67,2047,7402,298,11405,29568,321,834,10210,8,29568,35,6465,34720]"
4485,"[36592,2389,1961,366,1921,3180,1600,42881,34764,56,3963,15529,509,12115,11,7788,32761,6375,198,1635,8959,49094,11,47783,2751,21728,5626,40880,5390,3336,34764,11015,3963,34482,3398,1565,5603,25382,11,198,1635,376,46144,7473,317,16652,2149,37232,33079,48933]"
4483,"[7102,24302,18310,32552,3525,6234,6375,25401,41260,9399,32552,3525,6234,11,5357,7655,41119,11,5161,3336,20460,3963,3336,38044,7102,30339,1961,15698,1268,11,25273,44,19807,317,11731,4146,17534,12887,4462,12709,13,3268,8005,34882,38359,575,892,3537,39421,17534]"
9647,"[7102,24302,18310,32552,3525,6234,6375,25401,41260,9399,32552,3525,6234,11,5357,7655,41119,11,13558,3398,4526,48296,3525,18421,8779,4146,5390,3336,5550,18697,31054,5357,5390,13558,3398,5550,18697,31054,6,50,39537,5883,1137,3268,3336,23337,1797,5446,6234,17189]"
4482,"[1459,27964,2888,290,466,407,423,1895,284,275,4310,2388,16,13,785,5794,628,198,198,1639,481,3328,281,3053,8972,13,198,198,7191,428,2278,11,674,8683,2691,5468,481,3520,23485,11,2845,287,617,2663,810,345,460,7330,281,366]"
9657,"[43559,47466,3180,36592,2389,1961,11050,3336,27975,38162,9947,367,15173,4877,5357,27342,9865,3843,20673,366,1921,3180,1,5357,15529,7788,32761,6375,8959,49094,34764,11015,11,47783,2751,11,21728,5626,40880,5390,11,3336,8959,49094,34764,11015,3963,34482,3398,1565]"
9660,"[5320,198,27,6888,1159,6927,12626,29,30719,26632,3556,12626,6927,12626,1398,2625,8658,12915,5320,5,77,24145,26,3556,12626,12240,6888,1159,29,198,27,2213,29,198,27,400,1398,2625,4033,5962,1,8354,2625,4033,5320,5841,7483,290,5994,3556]"
4477,"[11,262,5456,815,787,257,2581,284,262,4382,284,7330,340,1262,262,11241,4504,287,262,32921,2882,13,628,220,220,220,2581,13,26198,3163,77,796,366,1501,25,8356,25,82,18,3712,25,1820,33,38811,8172,220,1303,2672,198,220]"
9665,"[4023,1378,2503,13,86,18,13,2398,14,11024,14,21370,70,1,1570,14253,2625,15,657,1987,1987,22039,6978,288,2625,44,1238,1367,85,17,39,23,75,20,642,71,17,85,17,71,12,17,85,12,17,71,12,17,75,12]"
9667,"[262,4382,481,407,1441,257,48132,27863,3722,2438,13,770,3896,857,407,4174,611,262,1438,1988,7160,355,257,2393,1438,13,383,4382,743,635,2148,281,13527,1438,287,262,2882,11,475,428,1438,481,307,8606,416,262,32921,509,35238,7946]"
9671,"[422,1728,2897,9549,286,428,2099,13,2102,11,262,1772,318,407,17583,329,9836,422,777,2897,9549,13,383,4394,2810,416,777,2897,9549,389,1762,351,1180,3884,2657,2706,523,674,9836,743,13238,422,326,286,262,11756,2706,13,554,3090]"
9673,"[416,9723,1099,393,4987,284,287,3597,11,201,198,1635,3788,9387,739,262,13789,318,9387,319,281,201,198,1635,366,1921,3180,1,29809,1797,11,42881,34764,11015,6375,7102,49828,11053,3963,15529,201,198,1635,509,12115,11,2035,4911,393,17142]"
9677,"[1635,220,340,739,262,2846,286,262,22961,3611,5094,13789,355,3199,416,198,1635,220,262,3232,10442,5693,26,2035,2196,362,286,262,13789,11,393,198,1635,220,357,265,534,3038,8,597,1568,2196,13,198,1635,198,1635,220,770,1430]"
4466,"[307,10398,11,4249,2236,2836,779,597,2587,422,517,621,530,4866,393,7914,3335,13,770,3052,743,407,307,31759,329,5068,4959,13,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256]"
9656,"[198,220,220,428,3788,1231,2176,3161,3194,7170,13,198,198,43559,47466,3180,36592,2389,1961,11050,3336,27975,38162,9947,367,15173,4877,5357,27342,9865,3843,20673,366,1921,3180,1,5357,198,31827,7788,32761,6375,8959,49094,34764,11015,11,47783,2751,11]"
9644,"[9795,13954,48778,50,11096,34764,11015,13315,23337,9795,5390,12680,47466,11,198,1635,47783,2751,11096,8959,49094,34764,11015,3963,34482,3398,1565,5603,25382,5357,376,46144,11,3268,8005,198,1635,49261,50163,47134,10554,47035,9795,9348,43031,19146,7473,15529,38846,11]"
4496,"[56,3963,15529,509,12115,11,7788,32761,6375,198,1635,8959,49094,11,47783,2751,21728,5626,40880,5390,3336,34764,11015,3963,34482,3398,1565,5603,25382,11,198,1635,376,46144,7473,317,16652,2149,37232,33079,48933,5357,44521,1268,10913,2751,12529,13,220,3268]"
4497,"[13,785,14,4908,13,8457,1,2099,2625,5239,14,37495,5320,198,3556,12048,29,198,27,12048,2099,2625,5239,14,37495,5320,198,220,1949,1391,198,220,220,220,1401,2443,35694,796,4808,41268,13557,1136,35694,7203,34970,12,3365,36244,2816,12]"
9619,"[2075,22370,21495,12,1954,4299,19,68,21,66,1415,65,289,16,25,47191,17602,397,80,55,57,74,37,1495,79,56,24,988,69,7836,21,64,46044,51,19,47,2718,14,3132,55,22362,48,20,79,3365,28,198,12567,13,785]"
4523,"[15,13,15,12,1238,2167,1828,1238,17885,2624,12,69,23,66,24,18213,23,69,21,64,15,198,220,304,17,65,22,21855,19,68,20,66,16,67,23,69,20,64,23,65,20,69,24,66,22,65,24,66,22,65]"
9621,"[56,26,1231,772,262,17142,18215,286,198,2235,34482,3398,1565,5603,25382,393,376,46144,7473,317,16652,2149,37232,33079,48933,13,4091,262,22961,198,2235,3611,5094,13789,329,517,3307,13,198,2235,198,2235,921,815,423,2722,257,4866,286,262]"
9622,"[6831,4382,6890,23805,37962,287,511,6831,4542,3341,357,35,5653,8,393,3586,9597,13,1081,884,11,6831,12,5715,15835,318,1690,49754,351,1366,12,28577,15835,11,393,360,5222,13,383,2126,318,326,611,281,4009,468,1111,1366,12,28577]"
4518,"[10431,2810,326,262,1708,3403,389,1138,25,198,220,1635,220,220,1635,2297,396,2455,507,286,2723,2438,1276,12377,262,2029,6634,4003,11,198,220,1635,220,220,220,220,428,1351,286,3403,290,262,1708,37592,13,198,220,1635,220,220]"
9627,"[26,3556,12626,12240,6888,1159,29,198,27,2213,29,198,27,400,1398,2625,4033,5962,1,8354,2625,4033,5320,5841,7483,290,5994,3556,400,29,198,27,400,8354,2625,4033,5320,17410,290,12489,3556,400,29,198,3556,2213,29,198,27,2213]"
