Example ID,Suffix Guess
9506,"[332,301,11033,358,21361,447,250,1931,41582,11033,918,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256]"
3535,"[47454,198,220,220,220,2760,1292,1058,2163,357,17618,8,1391,198,220,220,220,220,220,220,220,1401,257,796,1271,4064,838,11,198,220,220,220,220,220,220,220,220,220,220,220,275,796,1271,18189,1802,5633,1802,1058,9242,26]"
12145,"[8591,264,2634,22019,43816,38251,801,1313,2350,748,38251,67,578,1834,11,300,9019,12,76,25792,1326,299,6,64,277,4548,627,6,1228,39605,555,2708,288,504,3367,2524,13,13778,299,6,88,1196,4548,11,288,14064,82,443,39073,3911]"
1064,"[4235,20398,2624,8,357,8056,4049,8,1391,198,197,7783,25064,13345,13,15457,7,6978,11,4235,8,198,92,198,198,20786,360,67,952,7,6978,4731,11,4235,20398,2624,8,357,16344,493,11,11454,4049,8,1391,198,197,7783,25064,13345]"
7821,"[2043,3419,2,44169,1776,201,198,2,31916,16193,10943,36,62,2200,48296,3525,6234,62,16448,6234,49423,7,2,48952,11,2,43239,4032,23108,11537,1776,201,198,2,31980,16193,45,2390,1961,62,4944,2043,7,28104,6489,30525,62,15567,2538,62]"
1073,"[15729,383,1502,287,543,649,37185,389,2727,318,407,11462,1377,340,338,1744,262,1080,481,4738,1096,428,1502,706,262,4238,4958,318,2727,13,198,198,464,1080,460,779,262,5456,8398,284,2251,24573,10245,351,257,7368,10348,1271,286,2186]"
7844,"[361,345,1249,8,326,13536,262,5043,393,2139,10131,284,7564,534,6444,290,8006,290,5529,534,2614,1366,13,198,198,5211,356,779,257,4382,326,356,1630,30,198,198,5297,11,355,636,286,674,3127,2324,8435,356,1630,262,4382,326]"
7857,"[5036,23,1828,11,15,27865,6659,64,21,2414,65,11,15,25306,1731,65,23,65,2154,11,15,25306,4304,66,4349,64,18,198,13,6511,197,15,24954,17477,68,23,1129,11,15,24954,47325,3312,1731,11,15,26152,1821,68,31128,66]"
7877,"[1255,286,428,440,9419,1429,318,4624,44837,3193,2157,262,4286,286,1123,28660,2443,11,284,1249,329,2420,15455,13,2102,11,597,2420,287,257,1813,3601,2443,284,262,6287,326,318,407,5017,416,262,2029,1429,11,481,307,3017,287,428]"
7885,"[21361,354,334,74,3201,25308,12466,110,140,115,40623,20375,45367,12466,116,12466,123,25443,112,43666,16843,21169,140,114,18849,20375,45367,12466,121,16142,141,230,16843,220,21727,20375,21169,16142,22177,45035,12466,120,16142,21169,25443,118,16142,22177,21727,31583]"
1091,"[1391,12178,25,1364,26,1782,201,198,13,9019,12,4475,79,15799,764,9019,12,4475,79,15799,12,17034,75,1391,12178,25,826,26,1782,201,198,13,9019,12,4475,79,15799,764,9019,12,4475,79,15799,12,27171,1391,4469,12,9060,25]"
12073,"[428,670,1729,12,785,647,2131,11,290,5964,511,27255,2499,319,1180,2846,11,2810,262,2656,670,318,6105,9181,290,262,779,318,1729,12,36313,13,4091,25,2638,1378,20123,425,9503,684,13,2398,14,677,4541,14,1525,12,10782,14]"
7900,"[42,43,23,14,49,22,14,2999,33207,35072,10,41,56,54,41,514,13,71,12657,538,5303,14,24254,14,28457,14,1324,312,75,62,8612,1352,13,2188,13,4666,289,16,25,42,19930,73,69,15571,17,42,23,57,48,22]"
1099,"[46162,38827,6158,28,16,26,62,9419,51,62,45,1340,62,10943,21389,2751,62,17887,4805,1268,10234,50,28,16,26,62,50,5097,62,23683,11335,62,15285,62,31502,50,28,16,26,834,54,55,5653,54,834,26,45,30531,26,62]"
3538,"[52,6234,38044,11,5357,376,10659,15513,4810,8476,26720,569,13153,16034,4526,48296,3525,6234,5390,4526,48296,3525,6234,11,47783,2751,42881,27564,2043,6234,11,3336,10149,11335,11,569,33604,2767,56,11,19604,1847,9050,11,5357,4810,8476,3963,7655,20739]"
7909,"[201,198,220,770,1430,318,9387,287,262,2911,326,340,481,307,4465,11,201,198,220,475,42881,15529,34764,56,26,1231,772,262,17142,18215,286,201,198,220,34482,3398,1565,5603,25382,393,376,46144,7473,317,16652,2149,37232,33079,48933,13]"
12062,"[50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256]"
7917,"[4525,857,407,2291,477,2657,2706,393,477,2657,4394,1695,287,262,17432,13,198,198,17171,498,41806,25,770,2695,318,407,2810,393,20462,416,262,3884,2657,44168,13,8670,259,507,6241,994,389,1772,338,3436,11,407,883,286,262,3884]"
3463,"[2524,7324,13,287,7496,13,259,430,13,8310,198,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256]"
12041,"[6082,737,198,2,198,2,770,6634,4003,17191,4526,23680,611,345,779,428,2393,198,2,357,259,663,1459,1296,8,287,597,835,11,290,460,407,307,3421,13,198,2,198,2,4091,262,2393,27342,9865,3843,20673,416,4566,13,5162]"
7923,"[266,343,299,488,912,3367,301,6184,120,527,304,259,3311,831,89,298,6582,3326,69,9116,5235,11,288,292,18042,1052,69,648,281,299,30830,285,641,354,677,956,1583,278,33467,365,896,12,15167,76,304,10745,9116,11840,83,13]"
3451,"[468,4104,284,262,2050,286,513,12,35,2644,481,3002,2279,422,7325,12141,284,2836,1545,26061,287,428,9856,2041,13,383,2041,11,11946,2644,1336,1621,198,198,7676,13,513,11,1853,1587,245,4042,661,3328,511,717,7111,284,262,995]"
3444,"[3186,286,262,1772,338,13843,393,973,16878,270,6819,11,290,597,28204,284,4036,6506,11,2877,393,2636,11,1597,33228,11,2995,393,1957,274,318,5000,11194,35182,13,198,198,2503,13,13587,293,21915,13,785,198,198,68,10482,8313,4635]"
12037,"[281,3626,284,5963,257,1365,4547,286,1964,11,3034,290,1919,2428,13,383,2587,319,428,2524,318,9387,1231,7630,284,883,508,423,6241,257,3161,1393,287,6464,340,329,2267,290,9856,4959,13,1002,345,4601,284,779,33696,2587,329,4959]"
1131,"[86,358,4871,13,71,33384,796,289,54,358,26,198,86,358,4871,13,71,1671,21756,796,357,39,11473,27143,8,46786,62,28929,3913,7,71,33384,11,657,1776,198,86,358,4871,13,75,862,89,9487,5376,796,366,3666,9487,8172]"
7964,"[30786,290,4605,540,2775,1022,2039,1313,11421,13,5855,36,3919,354,1,393,366,1169,198,1,39154,4943,290,262,5292,17800,393,597,584,2151,11,290,743,407,307,198,2411,798,319,416,2687,355,262,4308,286,257,2775,416,1556,10365]"
3425,"[284,2221,257,1479,1363,2989,13,775,1183,788,905,345,257,1351,286,262,749,2968,649,1363,6608,287,262,1989,13,198,198,1532,345,389,2045,329,257,13064,649,1363,287,257,2176,4067,788,356,460,1037,345,1064,262,1363,286,534]"
12016,"[447,247,6623,6154,13,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256]"
12014,"[1321,2810,287,1502,284,3053,428,2708,481,407,307,4888,11,2702,11,14018,11,22112,11,1577,1497,393,4306,925,1171,416,15815,6343,13473,11,3457,13,770,2708,743,407,307,283,2545,39000,393,6451,24578,18511,416,15815,6343,13473,11,3457]"
1101,"[37620,2624,26,62,9419,51,62,23683,11335,62,15285,62,46162,38827,6158,28,16,26,62,9419,51,62,45,1340,62,10943,21389,2751,62,17887,4805,1268,10234,50,28,16,26,62,50,5097,62,23683,11335,62,15285,62,31502,50,28,16]"
7809,"[220,4091,262,198,93,22961,3611,5094,13789,329,517,3307,13,198,93,198,93,921,815,423,2722,257,4866,286,262,22961,3611,5094,13789,198,93,1863,351,428,3788,26,611,407,11,3551,284,262,3232,198,93,5094,13789,287,1220,14629]"
7804,"[7645,634,36123,318,407,5884,1600,198,197,15711,25,366,66,34574,3758,706,4839,36123,18325,1600,198,197,14454,25,366,18820,867,10288,25,2314,4328,501,1600,198,197,11442,25,366,38659,28805,503,1600,198,197,16243,25,366,38659,6520,1600]"
12161,"[3307,284,2368,4671,13,198,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256,50256]"
